date,entity_id,brand,product_name,category,event_type,event_title,event_description,impact_direction,linked_marker_date,linked_marker_type,signal_story,priority
2025-01-03,104,TechGear,TechBuds Pro,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for TechBuds Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-04,203,CoreMobile,MidCore X8,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for MidCore X8, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-05,601,ClearAudio,ClearSound H7,headphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ClearSound H7, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-06,101,SoundWave,SoundPods X3,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SoundPods X3, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-06,501,PowerTech,PowerMax 20K,power_banks,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for PowerMax 20K, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-07,701,TabTech,TabPro 10,tablets,product_announcement,New product announcement,"TabPro 10 likely received a launch-style announcement or major reveal, creating fresh discovery momentum.",positive,,,,high
2025-01-08,301,FitTech,FitPulse Watch,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for FitPulse Watch, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-09,401,BoomAudio,BoomBox Mini,bluetooth_speakers,product_announcement,New product announcement,"BoomBox Mini likely received a launch-style announcement or major reveal, creating fresh discovery momentum.",positive,,,,high
2025-01-11,103,PureAudio,PureSound Elite,earbuds,product_upgrade,Product page or feature upgrade,PureSound Elite received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
2025-01-11,304,ActiveTech,ActiveBand X2,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ActiveBand X2, creating a measurable ad point in the timeline.",positive,,,,medium
2025-01-13,201,NovaTech,NovaPhone S22,smartphones,product_announcement,New product announcement,"NovaPhone S22 likely received a launch-style announcement or major reveal, creating fresh discovery momentum.",positive,,,,high
2025-01-19,602,BassAudio,BassKing Pro,headphones,product_upgrade,Product page or feature upgrade,BassKing Pro received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
2025-01-21,302,LuxBrand,LuxTime Pro,smartwatches,product_upgrade,Product page or feature upgrade,LuxTime Pro received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
2025-01-23,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,product_upgrade,Product page or feature upgrade,StudioBeam Pro received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
